  0.13426  0.13426  0.26336  0.26336  0.37014  0.37014  0.58100  0.58100
  0.59384  0.59384  0.73812  0.73812  0.98257  0.98257  1.15601  1.15601
  1.18588  1.18588  1.34093  1.34093  1.46316  1.46316  1.47375  1.47375
   YP 1(  6  0 48)/ 36     N.O.ENERGY= 48
 -2.25479 -2.25479 -2.25342 -2.25342 -2.25244 -2.25244 -2.25165 -2.25165
 -2.20253 -2.20253 -2.20167 -2.20167 -2.20062 -2.20062 -2.19800 -2.19800
 -2.19743 -2.19743 -2.19712 -2.19712 -0.54019 -0.54019 -0.27762 -0.27762
  0.12907  0.12907  0.27663  0.27663  0.38778  0.38778  0.56276  0.56276
  0.57628  0.57628  0.74649  0.74649  1.00911  1.00911  1.13021  1.13021
  1.14128  1.14128  1.33168  1.33168  1.40137  1.40137  1.54635  1.54635
   YP 1(  6  0 42)/ 36     N.O.ENERGY= 48
 -2.25480 -2.25480 -2.25341 -2.25341 -2.25247 -2.25247 -2.25163 -2.25163
 -2.20253 -2.20253 -2.20171 -2.20171 -2.20064 -2.20064 -2.19797 -2.19797
 -2.19737 -2.19737 -2.19710 -2.19710 -0.55281 -0.55281 -0.25641 -0.25641
  0.12799  0.12799  0.29052  0.29052  0.40979  0.40979  0.54564  0.54564
  0.55727  0.55727  0.74878  0.74878  1.00293  1.00293  1.08087  1.08087
  1.17266  1.17266  1.27972  1.27972  1.32711  1.32711  1.57905  1.57905
   YP 1(  6  0 36)/ 36     N.O.ENERGY= 48
 -2.25481 -2.25481 -2.25340 -2.25340 -2.25251 -2.25251 -2.25159 -2.25159
 -2.20254 -2.20254 -2.20177 -2.20177 -2.20069 -2.20069 -2.19792 -2.19792
 -2.19731 -2.19731 -2.19705 -2.19705 -0.56946 -0.56946 -0.22558 -0.22558
  0.13210  0.13210  0.30291  0.30291  0.43536  0.43536  0.52391  0.52391
  0.54394  0.54394  0.74501  0.74501  0.98012  0.98012  1.03947  1.03947
  1.19586  1.19586  1.23816  1.23816  1.27406  1.27406  1.54607  1.54607
   YP 1(  6  0 30)/ 36     N.O.ENERGY= 48
 -2.25484 -2.25484 -2.25340 -2.25340 -2.25256 -2.25256 -2.25156 -2.25156
 -2.20256 -2.20256 -2.20184 -2.20184 -2.20074 -2.20074 -2.19786 -2.19786
 -2.19725 -2.19725 -2.19698 -2.19698 -0.58683 -0.58683 -0.18972 -0.18972
  0.14248  0.14248  0.31114  0.31114  0.46215  0.46215  0.49427  0.49427
  0.54305  0.54305  0.73600  0.73600  0.95103  0.95103  1.00683  1.00683
  1.14539  1.14539  1.19122  1.19122  1.32861  1.32861  1.48259  1.48259
   YP 1(  6  0 24)/ 36     N.O.ENERGY= 48
 -2.25488 -2.25488 -2.25342 -2.25342 -2.25262 -2.25262 -2.25154 -2.25154
 -2.20260 -2.20260 -2.20191 -2.20191 -2.20081 -2.20081 -2.19780 -2.19780
 -2.19720 -2.19720 -2.19692 -2.19692 -0.60279 -0.60279 -0.15277 -0.15277
  0.16020  0.16020  0.31311  0.31311  0.45023  0.45023  0.49850  0.49850
  0.55378  0.55378  0.72174  0.72174  0.91809  0.91809  0.98322  0.98322
  1.07578  1.07578  1.17938  1.17938  1.37771  1.37771  1.43212  1.43212
   YP 1(  6  0 18)/ 36     N.O.ENERGY= 48
 -2.25492 -2.25492 -2.25343 -2.25343 -2.25266 -2.25266 -2.25151 -2.25151
 -2.20263 -2.20263 -2.20198 -2.20198 -2.20088 -2.20088 -2.19774 -2.19774
